MB1_AN,PA3
MB1_RST,PE11
MB1_CS,PA4
MB1_SCK,PA5
MB1_MISO,PA6
MB1_MOSI,PB5
MB1_PWM,PD12
MB1_INT,PD3
MB1_RX,PB7
MB1_TX,PB6
MB1_SCL,PB8
MB1_SDA,PB9
MB2_AN,PC0
MB2_RST,PE12
MB2_CS,PB2
MB2_SCK,PA5
MB2_MISO,PA6
MB2_MOSI,PB5
MB2_PWM,PD13
MB2_INT,PD5
MB2_RX,PD6
MB2_TX,PD5
MB2_SCL,PB8
MB2_SDA,PB9
MB3_AN,PC2
MB3_RST,PE13
MB3_CS,PB4
MB3_SCK,PA5
MB3_MISO,PA6
MB3_MOSI,PB5
MB3_PWM,PD14
MB3_INT,PD2
MB3_RX,PD9
MB3_TX,PD8
MB3_SCL,PB8
MB3_SDA,PB9
MB4_AN,PC3
MB4_RST,PE14
MB4_CS,PC13
MB4_SCK,PC10
MB4_MISO,PC11
MB4_MOSI,PC12
MB4_PWM,PD15
MB4_INT,PF3
MB4_RX,PC7
MB4_TX,PC6
MB4_SCL,PF1
MB4_SDA,PF0
MB5_AN,PB1
MB5_RST,PE15
MB5_CS,PD7
MB5_SCK,PC10
MB5_MISO,PC11
MB5_MOSI,PC12
MB5_PWM,PB0
MB5_INT,PE10
MB5_RX,PC7
MB5_TX,PC6
MB5_SCL,PF1
MB5_SDA,PF0
ETH_RMII_RXD0,PC4
ETH_RMII_RXD1,PC5
ETH_RMII_TXD0,PB12
ETH_RMII_TXD1,PB13
ETH_RMII_TX_EN,PB11
ETH_RMII_CRS_DV,PA7
ETH_MDIO,PA2
ETH_MDC,PC1
ETH_RMII_REF_CLK,PA1
USB_VBUS,PA9
USB_DM,PA11
USB_DP,PA12
USB_SW_ID,PA10
USB_PSW,PB15
USB_UART_TX,PC6
USB_UART_RX,PC7
PA0,PA0
PA1,PA1
PA2,PA2
PA3,PA3
PA4,PA4
PA5,PA5
PA6,PA6
PA7,PA7
PA8,PA8
PA9,PA9
PA10,PA10
PA11,PA11
PA12,PA12
PA13,PA13
PA14,PA14
PA15,PA15
PB0,PB0
PB1,PB1
PB2,PB2
PB3,PB3
PB4,PB4
PB5,PB5
PB6,PB6
PB7,PB7
PB8,PB8
PB9,PB9
PB10,PB10
PB11,PB11
PB12,PB12
PB13,PB13
PB14,PB14
PB15,PB15
PC0,PC0
PC1,PC1
PC2,PC2
PC3,PC3
PC4,PC4
PC5,PC5
PC6,PC6
PC7,PC7
PC8,PC8
PC9,PC9
PC10,PC10
PC11,PC11
PC12,PC12
PC13,PC13
PC14,PC14
PC15,PC15
PD0,PD0
PD1,PD1
PD2,PD2
PD3,PD3
PD4,PD4
PD5,PD5
PD6,PD6
PD7,PD7
PD8,PD8
PD9,PD9
PD10,PD10
PD11,PD11
PD12,PD12
PD13,PD13
PD14,PD14
PD15,PD15
PE0,PE0
PE1,PE1
PE2,PE2
PE3,PE3
PE4,PE4
PE5,PE5
PE6,PE6
PE7,PE7
PE8,PE8
PE9,PE9
PE10,PE10
PE11,PE11
PE12,PE12
PE13,PE13
PE14,PE14
PE15,PE15
PF0,PF0
PF1,PF1
PF2,PF2
PF3,PF3
PF4,PF4
PF5,PF5
PF6,PF6
PF7,PF7
PF8,PF8
PF9,PF9
PF10,PF10
PF11,PF11
PF12,PF12
PF13,PF13
PF14,PF14
PF15,PF15
PG0,PG0
PG1,PG1
PG2,PG2
PG3,PG3
PG4,PG4
PG5,PG5
PG6,PG6
PG7,PG7
PG8,PG8
PG9,PG9
PG10,PG10
PG11,PG11
PG12,PG12
PG13,PG13
PG14,PG14
PG15,PG15
PH0,PH0
PH1,PH1
